time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2021-05-05 15:57:29.549 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159893,1377,1,744,744,1, ,2,4,1427,8177463294,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1620230248524,,, , , , , , , , , ,3145728,1377,2,2,1,2, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,57,455,3,333,59236448,2, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 15:57:29.917 UTC, , , , , , , , , ,125,3164453,18600, , ,4, ,15, , , , , , , , , ,4,4, , , , ,1,5, ,1, , , , , , , , , ,1, , , ,3164453,1377,1,744,744, , , , ,1427,8177463294,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1620230248524,,, , , , , , , , , ,3145728,2411,4,4,2,4, , , ,9,9,2,9, ,3,9, , , , , , , , , , ,4096,2,1011,9, , , , ,1,8, , ,59604280,2, , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,8,4,1, , , , , , , , , , 
2021-05-05 15:57:30.257 UTC, , , , , , , , , ,125,3160589,14736, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,23,12, , , , , , , , ,1, , , ,3160589,3779,2, ,2510, , , , ,3826,8177446910,39,39,39,39, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , ,3826,1620230250166,,, , , , , , , , , ,3145728,3779, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,103085,32, , , , , , ,59,467,4,466,43511592,2, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 15:58:30.291 UTC, , , , , , , , , ,1469,3397869,250000,672, ,45, ,10233,1,0.00, , , , , , , ,45,8, , , ,16,8,12, ,14405,2, , , , , , , , ,1, , , ,3397869,3779,2, ,2510, , , , ,326469,8176971774,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,326469,1620230250166,,, , , , , , , , , ,3145728,326439,8,20,2,23, , ,4,304,242,3,304, ,3,245, ,4,1, , , , , , , ,10368,7,322643,243, , , , ,30,276,1,225,71638112,2, , , , , , ,19967,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,240, ,3424, ,95121,4169,75,76, , , , , , , , , 
2021-05-05 15:59:30.304 UTC, , , , , , , , , ,1469,3397869,250000,672, ,45, ,12, , , , , , , , , ,45,8, , , ,16,8,12, , , , , , , , , , , ,1, , , ,3397869,3779,2, ,2510, , , , ,326469,8170893310,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,326469,1620230250166,,, , , , , , , , , ,3145728,326439,3,3,2,3, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,73622208,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:01:17.981 UTC, , , , , , , , , ,125,3358981,213128, , ,45,1,7638,45,0.01, , , , , , , ,45,8, ,3747,1,9,43,7, ,3877,16, , , , , , , , ,1, , , ,3358981,379756,3,326540,326540,1,15,23,31,379811,8170647550,27,27,27,27, , , , , ,40,3917, , , , , , , , , , , , , , , , , , , , , , , , , ,379811,1620230476761,,, , , , , , , , , ,3145728,379756,2,2,1,2, , ,68,1,1,4,1, ,3,2, ,68, ,2048,1, , , ,2, ,3412711,475,53342,1, , , , ,60,315,4,254,53266920,1, , , , , , ,3878, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:01:18.276 UTC, , , , , , , , , ,125,3358981,213128, , ,45, ,10, , , , , , , , , ,45,8, , , ,9,42,7, ,4,2, , , , , , , , ,1, , , ,3358981,379756,3,326540,326540, , , , ,379811,8170647550,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,379811,1620230476761,,, , , , , , , , , ,3145728,379756, , , , , , ,2, , ,1, , ,3, , ,2,1, , , , , , , ,2176,3, , , , , , ,1,10, , ,45476328,1, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,8, , , , , , , , , , , 
2021-05-05 16:01:18.510 UTC, , , , , , , , , ,125,3165109,19256, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,28,18, , , , , , , , ,1, , , ,3165109,380189,4, ,379883, , , , ,380241,8170639358,27,27,27,27, , , , , ,47,3976, , , , , , , , , , , , , , , , , , , , , , , , , ,380241,1620230478387,,, , , , , , , , , ,3145728,380189, , , , , , ,26, , ,2, , ,3, , ,26, ,2048,1, , , , , ,855562,129, , , , , , ,61,325,4,254,59148808,1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:02:18.519 UTC, , , , , , , , , ,125,3346357,199832,672, ,41,15,380,38,0.10, , , , , , , ,41,7, , ,15,21,19,17, ,204,185, , , , , , , , ,1, , , ,3346357,380189,4, ,379883, , , , ,380467,8170590206,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,380467,1620230478387,,, , , , , , , , , ,3145728,380437,5,5,3,5, , ,242,1,1,3,1, ,3,4, ,242,1, , , , , ,12, ,166865,257,226,1, , , , ,15,181, , ,61026048,1, , , , , , ,1331, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,983,329,13,1, , , , , , , , , 
2021-05-05 16:03:18.527 UTC, , , , , , , , , ,125,3346357,199832,672, ,41, ,12, , , , , , , , , ,41,7, , , ,21,19,17, , , , , , , , , , , ,1, , , ,3346357,380189,4, ,379883, , , , ,380467,8170569726,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,380467,1620230478387,,, , , , , , , , , ,3145728,380437,5,5,2,5, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,62886112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:04:30.445 UTC, , , , , , , , , ,125,3169429,23576, , ,4, ,32,4,0.13, , , , , , , ,4,4, ,3, ,2,2,5, ,35,18, , , , , , , , ,1, , , ,3169429,381342,5,380538,380538,1,3, ,3,381397,8170549246,27,27,27,27, , , , , ,47,3977, , , , , , , , , , , , , , , , , , , , , , , , , ,381397,1620230669692,,, , , , , , , , , ,3145728,381342,3,3,1,3, , ,28,1,1,4,1, ,3,2, ,28, ,2048,1, , , , , ,863754,133,930,1, , , , ,58,321,4,270,56172504,1, , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:04:30.717 UTC, , , , , , , , , ,125,3169429,23576, , ,4, ,10, , , , , , , , , ,4,4, , , ,2,1,5, ,4,2, , , , , , , , ,1, , , ,3169429,381342,5,380538,380538, , , , ,381397,8170549246,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,381397,1620230669692,,, , , , , , , , , ,3145728,381342, , , , , , ,2, , ,1, , ,3, , ,2,1, , , , , , , ,2176,3, , , , , , ,1,6, , ,50147888,1, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,8, , , , , , , , , , , 
2021-05-05 16:04:30.935 UTC, , , , , , , , , ,125,3165157,19304, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,32,20, , , , , , , , ,1, , , ,3165157,381810,6, ,381469, , , , ,381862,8170549246,27,27,27,27, , , , , ,47,3991, , , , , , , , , , , , , , , , , , , , , , , , , ,381862,1620230670809,,, , , , , , , , , ,3145728,381810, , , , , , ,29, , ,2, , ,3, , ,29, ,2048,1, , , , , ,857780,132, , , , , , ,59,327,4,270,64433120,1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:05:30.947 UTC, , , , , , , , , ,125,3346405,199880,672, ,41,16,384,38,0.10, , , , , , , ,41,7, , ,16,21,18,18, ,205,185, , , , , , , , ,1, , , ,3346405,381810,6, ,381469, , , , ,382378,8170901502,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,382378,1620230670809,,, , , , , , , , , ,3145728,382348,2,2,1,2, , ,243,3,3,3,3, ,3,6, ,243,1, , , , , ,12, ,168913,258,516,3, , , , ,14,168, , ,57638912,1, , , , , , ,1336, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,984,331,12, , , , , , , , , , 
2021-05-05 16:06:30.960 UTC, , , , , , , , , ,125,3346405,199880,672, ,41, ,17, , , , , , , , , ,41,7, , , ,21,18,18, , , , , , , , , , , ,1, , , ,3346405,381810,6, ,381469, , , , ,382378,8167112702,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,382378,1620230670809,,, , , , , , , , , ,3145728,382348,7,7,3,7, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , ,1,19, , ,78946944, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,12, , , , , , , , , , 
