time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2021-05-05 16:24:29.358 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159893,1377,1,744,744,1, ,2,4,1427,8152330238,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1620231868942,,, , , , , , , , , ,3145728,1377,2,2,1,2, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,3,190,14,165,123972984,1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:24:29.598 UTC, , , , , , , , , ,125,3164453,18600, , ,4, ,15, , , , , , , , , ,4,4, , , , ,1,5, ,1, , , , , , , , , ,1, , , ,3164453,1377,1,744,744, , , , ,1427,8152330238,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1620231868942,,, , , , , , , , , ,3145728,2414,8,8,2,8, , , ,9,9,2,9, ,3,9, , , , , , , , , , ,4096,2,1014,9, , , , , , , , ,142503968,1, , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,8,4,1, , , , , , , , , , 
2021-05-05 16:24:29.773 UTC, , , , , , , , , ,125,3160589,14736, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,23,12, , , , , , , , ,1, , , ,3160589,3785,2, ,2513, , , , ,3832,8152313854,39,39,39,39, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , ,3832,1620231869661,,, , , , , , , , , ,3145728,3785, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,103085,32, , , , , , ,3,190,14,165,157874776,1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:25:29.777 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,10776,1,0.00, , , , , , , ,47,8, , , ,19,8,16, ,14223,2, , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,8151711742,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,4,7,1,11, , ,4,302,256,3,302, ,3,259, ,4,1, , , , , , , ,10368,7,330510,256, , , , ,1,153,3,113,179015328, , , , , , , ,20210, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,240, ,3422, ,94989,4264,77,76, , , , , , , , , 
2021-05-05 16:26:29.786 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,17, , , , , , , , , ,47,8, , , ,19,8,16, , , , , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,8151576574,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,8,8,3,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,221195104, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,12, , , , , , , , , , 
2021-05-05 16:27:29.799 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,12, , , , , , , , , ,47,8, , , ,19,8,16, , , , , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,8151187454,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,3,3,2,3, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,222874392, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:28:29.825 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,12, , , , , , , , , ,47,8, , , ,19,8,16, , , , , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,7777603582,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,5,5,3,5, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,223367008,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:29:30.142 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,12, , , , , , , , , ,47,8, , , ,19,8,16, , , , , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,7598059518,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,18,18,10,18, , , , , , , , ,3,2, , ,1, , , , , , , , , , , , , , , , , , , ,225213736,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:30:33.185 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,11, , , , , , , , , ,47,8, , , ,19,8,16, , , , , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,7598059518,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,659,659,182,659, , , , , , , , ,3,4, , ,1, , , , , , , , , , , , , , , , , , , ,226433376,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , 
2021-05-05 16:31:58.467 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,11, , , , , , , , , ,47,8, , , ,19,8,16, , , , , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,7597883390,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,142,142,64,142, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,229197992,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , 
